,City,Country,Temp,Humidity,Lat,Long,Cloud,Wind,Date
61,Necochea,AR,51.01,60,-38.55,-58.74,75,7.0,1592007283
62,Sabang,ID,82.8,77,5.89,95.32,73,8.37,1592007283
63,Saskylakh,RU,40.87,77,71.92,114.08,69,10.2,1592007283
64,Bathsheba,BB,82.4,74,13.22,-59.52,40,17.22,1592007283
65,Ponta do Sol,PT,62.46,77,32.67,-17.1,40,2.24,1592007283
66,Tabas,IR,82.4,15,33.6,56.92,0,4.7,1592007284
67,Tilichiki,RU,57.25,49,60.47,166.1,100,8.28,1592007284
68,Dingcheng,CN,74.75,98,32.13,115.04,100,2.39,1592007285
69,Mitsamiouli,KM,77.49,70,-11.38,43.28,4,10.0,1592007285
70,Dikson,RU,33.03,95,73.51,80.55,34,7.61,1592007285
71,Lipari,IT,66.69,48,38.47,14.95,0,4.0,1592007285
72,Lhokseumawe,ID,77.34,77,5.18,97.15,85,4.76,1592007285
73,Ende,ID,79.57,76,-8.84,121.66,86,2.26,1592007286
74,Mountain Home,US,89.6,11,43.13,-115.69,40,5.82,1592007286
75,Simdega,IN,79.61,82,22.62,84.52,95,6.98,1592007287
76,Bandundu Province,CD,73.42,83,-3.32,17.37,9,3.04,1592007287
77,Amazar,RU,61.84,65,53.86,120.88,100,1.99,1592007287
78,Anadyr,RU,55.4,62,64.75,177.48,20,8.95,1592007289
79,Pisco,PE,65.08,88,-13.7,-76.22,0,12.75,1592007289
80,Iqaluit,CA,41.0,60,63.75,-68.51,75,16.11,1592007289
81,Hithadhoo,MV,84.34,73,-0.6,73.08,97,9.42,1592007289
82,Samarai,PG,81.66,84,-10.62,150.67,14,14.14,1592007290
83,Codrington,AU,57.22,68,-38.27,141.97,100,22.7,1592007290
84,Castro,BR,60.82,94,-24.79,-50.01,49,3.74,1592007290
85,Touros,BR,75.2,94,-5.2,-35.46,24,4.7,1592007290
86,Osinki,RU,57.72,96,52.84,49.51,46,8.25,1592007290
87,Evensk,RU,51.01,57,61.95,159.23,100,4.18,1592007290
88,Cape Town,ZA,51.6,87,-33.93,18.42,75,11.41,1592007108
89,Saint Paul Harbor,US,57.2,58,57.79,-152.41,1,12.75,1592007294
90,Talcahuano,CL,46.4,87,-36.72,-73.12,0,2.24,1592007294
91,Upernavik,GL,32.31,95,72.79,-56.15,2,11.23,1592007294
92,Thompson,CA,64.4,23,55.74,-97.86,20,8.05,1592007294
93,Hohhot,CN,62.6,45,40.81,111.65,20,4.47,1592007295
94,Carnarvon,AU,61.52,65,-24.87,113.63,18,22.75,1592007295
95,Khatanga,RU,40.17,67,71.97,102.5,98,6.91,1592007295
96,Rosarito,MX,70.68,60,32.33,-117.03,1,6.93,1592007295
97,Bolnisi,GE,68.0,64,41.45,44.54,86,19.46,1592007295
98,Rafaela,AR,60.19,25,-31.25,-61.49,100,11.99,1592007296
99,East London,ZA,58.14,44,-33.02,27.91,0,17.65,1592007289
100,Salalah,OM,86.0,84,17.02,54.09,75,3.36,1592007296
101,Chokurdakh,RU,63.18,54,70.63,147.92,26,4.72,1592007296
102,Longyearbyen,SJ,37.4,86,78.22,15.64,75,24.16,1592007277
103,Fairbanks,US,67.8,37,64.84,-147.72,90,13.87,1592007003
104,Yeppoon,AU,68.0,94,-23.13,150.73,90,12.75,1592007304
105,Bluff,NZ,45.0,85,-46.6,168.33,43,5.01,1592007304
106,George Town,MY,77.0,94,5.41,100.34,20,2.24,1592007274
107,Pozo Colorado,PY,80.04,56,-23.49,-58.8,70,7.09,1592007304
108,Beringovskiy,RU,50.52,61,63.05,179.32,8,8.08,1592007305
109,St. George's,GD,82.4,78,12.06,-61.75,20,11.41,1592007306
110,Kutum,SD,71.42,26,14.2,24.67,0,1.21,1592007306
111,Grand Gaube,MU,71.01,84,-20.01,57.66,33,5.01,1592007306
112,College,US,69.58,33,64.86,-147.8,75,8.05,1592007306
113,Kwinana,AU,52.29,93,-32.25,115.77,90,5.82,1592007306
114,São José da Coroa Grande,BR,76.78,85,-8.9,-35.15,17,8.72,1592007306
115,Olafsvik,IS,43.18,80,64.89,-23.71,91,9.6,1592007309
116,Bredasdorp,ZA,53.6,71,-34.53,20.04,43,7.9,1592007316
117,Punta Arenas,CL,32.52,86,-53.15,-70.92,20,14.99,1592007077
118,Manturovo,RU,45.25,73,58.34,44.76,97,5.93,1592007317
119,Sola,VU,80.74,83,-13.88,167.55,100,25.32,1592007317
120,Plouzané,FR,52.36,93,48.38,-4.62,65,4.7,1592007317
121,Alice Springs,AU,68.0,24,-23.7,133.88,0,11.41,1592007317
122,Roblin,CA,60.42,71,51.23,-101.36,12,13.11,1592007317
123,Souillac,MU,71.6,88,-20.52,57.52,75,11.41,1592007317
124,Bahía Blanca,AR,51.12,42,-38.72,-62.27,46,17.67,1592007317
125,Lapta,CY,68.0,52,35.34,33.18,0,10.29,1592007317
126,Coquimbo,CL,55.4,82,-29.95,-71.34,0,3.36,1592007317
127,‘Ewa Beach,US,83.37,48,21.32,-158.01,40,11.41,1592007317
128,Lagoa,PT,63.73,87,39.05,-27.98,100,12.37,1592007325
129,Ambunti,PG,84.36,75,-4.24,142.84,35,1.03,1592007325
130,Gigmoto,PH,80.4,79,13.78,124.39,100,8.97,1592007329
131,Ust'-Kan,RU,56.75,70,50.93,84.76,4,2.46,1592007329
132,Nurota,UZ,66.2,39,40.56,65.69,0,2.24,1592007329
133,Lorengau,PG,85.41,73,-2.02,147.27,34,11.68,1592007329
134,Santa Isabel,BR,67.39,82,-23.32,-46.22,96,6.93,1592007329
135,Faya,SA,70.7,35,18.39,42.45,0,3.91,1592007330
136,Puerto Ayora,EC,73.0,88,-0.74,-90.35,66,5.01,1592007330
137,Alofi,NU,77.0,65,-19.06,-169.92,62,19.46,1592007330
138,Esperance,AU,46.4,93,-33.87,121.9,90,11.41,1592007256
139,Mar del Plata,AR,54.32,62,-38.0,-57.56,21,4.7,1592007330
140,Departamento de Maldonado,UY,57.06,93,-34.67,-54.92,40,4.7,1592007330
141,Kiryat Gat,IL,68.5,49,31.61,34.76,11,3.0,1592007330
142,Matara,LK,78.51,87,5.95,80.54,4,9.15,1592007330
143,Hobyo,SO,79.59,74,5.35,48.53,69,25.52,1592007330
144,Flin Flon,CA,60.8,44,54.77,-101.86,20,9.17,1592007330
145,Cherskiy,RU,67.8,38,68.75,161.3,90,8.21,1592007330
146,Magomeni,TZ,74.17,79,-6.8,39.25,24,7.23,1592007330
147,Gizo Government Station,SB,84.74,70,-8.1,156.84,87,5.82,1592007330
148,Aktash,RU,49.66,55,50.3,87.73,3,1.05,1592007330
149,Oddur,SO,71.62,76,4.12,43.89,51,17.9,1592007331
150,Goundi,TD,77.88,73,9.36,17.37,15,5.03,1592007331
151,Paamiut,GL,43.47,77,61.99,-49.67,100,25.61,1592007331
152,Torbay,CA,58.14,87,47.67,-52.73,90,9.17,1592007331
153,Chui,UY,59.72,95,-33.7,-53.46,23,3.91,1592007331
154,Kumul,CN,73.15,19,42.8,93.45,0,3.58,1592007331
155,Padang,ID,77.85,77,-0.95,100.35,55,4.97,1592007332
156,Berlevåg,NO,46.06,70,70.86,29.09,50,22.06,1592007333
157,Bosaso,SO,91.18,47,11.28,49.18,13,15.52,1592007333
158,Goundam,ML,102.52,12,16.41,-3.67,81,13.8,1592007333
159,Ribeira Grande,PT,64.29,85,38.52,-28.7,99,6.69,1592007333
160,Arraial do Cabo,BR,75.36,81,-22.97,-42.03,52,8.68,1592007334
161,Vao,NC,72.64,71,-22.67,167.48,91,19.24,1592007334
162,Alihe,CN,69.49,52,50.57,123.72,40,0.98,1592007334
163,Kasama,ZM,51.78,76,-10.21,31.18,0,2.91,1592007334
164,Provideniya,RU,53.69,58,64.38,-173.3,9,6.13,1592007334
165,Buchanan,LR,77.9,88,5.88,-10.05,100,6.98,1592007334
166,Bonthe,SL,79.25,84,7.53,-12.51,94,2.59,1592007334
167,Lata,PT,57.0,90,40.16,-8.33,26,2.51,1592007334
168,Izhma,RU,38.75,79,65.01,53.91,2,8.75,1592007334
169,Fasa,IR,69.8,22,28.94,53.65,0,3.44,1592007335
170,Muros,ES,57.99,83,42.78,-9.06,38,1.99,1592007335
171,Norman Wells,CA,77.0,27,65.28,-126.83,75,6.93,1592007338
172,Barrow,US,39.2,80,71.29,-156.79,90,6.93,1592007338
173,Paraná,AR,63.03,33,-31.73,-60.52,100,8.99,1592007338
174,Wajid,SO,72.9,75,3.81,43.25,78,17.47,1592007338
175,Palekastro,GR,68.0,56,35.2,26.25,0,3.0,1592007338
176,Bluefield,US,69.84,46,37.27,-81.22,75,3.36,1592007339
177,Chistogorskiy,RU,60.17,89,53.98,87.38,0,4.25,1592007339
178,Dawlatabad,AF,73.06,21,36.41,64.91,0,3.15,1592007346
179,Karpogory,RU,38.88,91,64.0,44.45,18,4.85,1592007346
180,Laguna,US,68.86,77,38.42,-121.42,90,9.17,1592007346
181,Nikolskoye,RU,54.09,58,59.7,30.79,2,4.83,1592007346
182,São Filipe,CV,76.44,80,14.9,-24.5,6,7.81,1592007347
183,Chapais,CA,44.6,75,49.78,-74.85,90,6.93,1592007354
184,Nanortalik,GL,41.99,81,60.14,-45.24,100,15.64,1592007354
185,Pandan,PH,80.17,80,14.05,124.17,100,6.76,1592007354
186,Khovd,MN,62.65,28,48.01,91.64,0,0.92,1592007354
187,Diphu,IN,76.19,94,25.83,93.43,100,0.47,1592007354
188,Humberto de Campos,BR,76.19,91,-2.6,-43.46,57,4.12,1592007355
189,Nuquí,CO,79.23,81,5.71,-77.27,92,5.75,1592007355
190,Katsuura,JP,73.62,92,35.13,140.3,100,5.99,1592007356
191,Manono,CD,73.2,46,-7.3,27.42,44,3.27,1592007356
192,Mvomero,TZ,68.22,96,-6.25,38.67,23,4.16,1592007356
193,Geraldton,AU,53.6,76,-28.77,114.6,75,5.82,1592007361
194,Athani,IN,75.13,80,16.73,75.07,100,15.08,1592007361
195,Mossamedes,AO,66.85,60,-15.2,12.15,8,5.91,1592007361
196,Damietta,EG,77.0,65,31.42,31.81,0,5.82,1592007361
197,Gimli,CA,66.0,36,50.63,-96.99,11,5.99,1592007353
198,Kedrovka,RU,59.0,93,55.53,86.05,6,6.71,1592007361
199,Acapulco de Juárez,MX,84.63,69,16.86,-99.89,80,7.2,1592007306
200,Mindelo,CV,77.0,78,16.89,-24.98,40,20.8,1592007362
201,Kaka,TM,79.88,17,37.35,59.61,0,7.49,1592007362
202,Ipixuna,BR,77.0,94,-1.76,-48.8,40,4.7,1592007362
203,Hong Kong,HK,84.65,83,22.29,114.16,22,11.65,1592007196
204,Nishiwaki,JP,71.02,94,34.98,134.97,75,11.41,1592007370
205,Tiksi,RU,44.22,68,71.69,128.87,69,2.21,1592007370
206,Altay,CN,67.37,46,47.87,88.12,0,2.82,1592007370
207,Catalina Foothills,US,105.51,6,32.3,-110.92,1,13.87,1592007370
208,Mbandaka,CD,70.32,93,0.05,18.26,10,2.24,1592007371
209,Myanaung,MM,79.43,89,18.28,95.32,100,4.99,1592007371
210,Nucet,RO,61.43,100,44.78,25.55,24,6.93,1592007371
211,Zhanakorgan,KZ,73.71,21,43.91,67.25,0,5.01,1592007373
212,Erenhot,CN,62.8,32,43.65,111.98,37,18.7,1592007373
213,Deming,US,95.0,17,32.27,-107.76,1,5.82,1592007373
214,Katghora,IN,83.82,70,22.5,82.55,100,0.43,1592007373
215,Constantine,DZ,59.0,93,36.37,6.61,75,3.36,1592007373
216,Santa Cruz de la Sierra,BO,78.8,69,-17.8,-63.17,40,11.41,1592007373
217,Bengkulu,ID,75.76,90,-3.8,102.27,84,5.01,1592007374
218,Lahat,ID,72.84,90,-3.8,103.53,87,2.42,1592007374
219,Rodolfo Sánchez Taboada,MX,69.01,73,31.72,-116.57,10,3.0,1592007374
220,Kavieng,PG,84.99,74,-2.57,150.8,36,12.28,1592007374
221,Fukuechō,JP,77.0,94,32.69,128.84,75,17.22,1592007374
222,Kapaa,US,81.84,58,22.08,-159.32,40,17.22,1592007374
223,Karratha,AU,74.7,45,-20.74,116.85,99,7.0,1592007374
224,Terrace Bay,CA,52.9,59,48.78,-87.1,97,7.99,1592007374
225,Naberera,TZ,57.78,99,-4.2,36.93,35,7.72,1592007375
226,Kushiro,JP,73.4,49,42.98,144.37,20,9.17,1592007375
227,Cienfuegos,CU,78.8,78,22.15,-80.44,100,5.82,1592007375
228,Plainview,US,73.44,50,40.78,-73.47,75,10.13,1592007079
229,São João da Barra,BR,74.19,81,-21.64,-41.05,55,6.89,1592007375
230,Aparecida do Taboado,BR,72.75,59,-20.09,-51.09,42,4.45,1592007375
231,Morro Bay,US,68.5,81,35.37,-120.85,3,8.01,1592007078
232,Gladstone,AU,71.6,73,-23.85,151.25,75,12.75,1592007375
233,Tuatapere,NZ,45.0,85,-46.13,167.68,40,5.01,1592007375
234,Baghdad,IQ,75.2,31,33.34,44.4,0,4.7,1592007356
235,Harper,LR,78.17,85,4.38,-7.72,80,7.7,1592007375
236,Cuaspud,CO,50.34,91,0.86,-77.73,72,2.46,1592007376
237,Prudnik,PL,61.95,68,50.32,17.57,96,1.01,1592007376
238,Sangar,RU,55.08,76,63.92,127.47,100,14.32,1592007376
239,San Policarpo,PH,83.55,80,12.18,125.51,100,10.56,1592007376
240,Clyde River,CA,30.2,100,70.47,-68.59,90,10.29,1592007376
241,Tegul'det,RU,62.47,92,57.31,88.17,53,9.24,1592007376
242,Savannah Bight,HN,83.23,69,16.45,-85.85,96,6.2,1592007376
243,Campbellsville,US,81.73,24,37.34,-85.34,1,4.7,1592007376
244,Saint-Ambroise,CA,51.71,87,48.55,-71.33,90,5.82,1592007376
245,Waddān,LY,80.35,25,29.16,16.14,0,16.93,1592007376
246,Luwuk,ID,80.11,75,-0.95,122.79,74,0.54,1592007251
247,Ishigaki,JP,86.0,89,24.34,124.16,20,13.87,1592007376
248,Kiunga,PG,82.33,76,-6.12,141.29,53,2.55,1592007377
249,Zhuanghe,CN,73.99,81,39.7,122.99,26,5.3,1592007377
250,Oistins,BB,82.4,74,13.07,-59.53,40,17.22,1592007246
251,Dudinka,RU,42.8,70,69.41,86.18,0,13.42,1592007245
252,Los Llanos de Aridane,ES,66.2,68,28.66,-17.92,81,2.24,1592007377
253,Bullhead City,US,105.87,5,35.15,-114.57,5,20.8,1592007225
254,Arāria,IN,81.23,83,26.15,87.52,42,9.84,1592007378
255,Hofn,IS,48.96,85,64.25,-15.21,44,20.58,1592007378
256,Krasnokholmskiy,RU,45.28,79,55.99,55.05,5,8.72,1592007378
257,Kirakira,SB,86.99,64,-10.45,161.92,24,6.55,1592007378
258,Saldanha,ZA,48.2,87,-33.01,17.94,0,2.24,1592007378
259,Undory,RU,53.6,81,54.61,48.39,90,8.95,1592007379
260,Kargopol',RU,40.77,90,61.51,38.95,0,4.32,1592007379
261,Lincoln,US,87.71,31,40.8,-96.67,1,9.17,1592007178
262,Bayangol,RU,55.31,53,50.7,103.47,58,2.48,1592007379
263,Ilulissat,GL,39.2,64,69.22,-51.1,0,9.17,1592007380
264,Lavrentiya,RU,46.31,70,65.58,-171.0,12,6.08,1592007380
265,Waycross,US,71.6,83,31.21,-82.35,75,8.05,1592007380
266,Minatitlán,MX,80.76,78,17.98,-94.52,99,8.81,1592007380
267,Curuçá,BR,75.45,94,-0.73,-47.85,100,3.36,1592007380
268,Kirovskiy,RU,62.35,92,45.09,133.51,94,3.29,1592007380
269,Funadhoo,MV,83.62,76,6.15,73.27,100,16.24,1592007381
270,Kampong Cham,KH,80.24,85,11.99,105.46,95,3.42,1592007186
271,Vila Franca do Campo,PT,62.6,88,37.72,-25.43,75,8.05,1592007381
272,Meulaboh,ID,77.85,75,4.14,96.13,89,3.98,1592007381
273,Mporokoso,ZM,56.39,64,-9.37,30.12,3,7.31,1592007381
274,Poum,NC,75.56,76,-20.23,164.02,92,16.58,1592007381
275,Khuzdar,PK,76.12,16,27.74,66.64,0,4.7,1592007199
276,Changqing,CN,79.0,62,36.56,116.73,33,6.15,1592007382
277,Frederick,US,76.77,34,39.47,-77.4,5,8.05,1592007382
278,Portland,US,55.92,71,45.52,-122.68,90,5.82,1592006666
279,Aksarka,RU,43.21,65,66.56,67.8,28,16.55,1592007382
280,Mahibadhoo,MV,84.43,73,3.78,72.97,100,11.92,1592007382
281,Vanimo,PG,85.05,66,-2.67,141.3,32,5.37,1592007382
282,Khandyga,RU,68.11,39,62.67,135.6,4,2.19,1592007382
283,Tasiilaq,GL,35.6,96,65.61,-37.64,8,14.99,1592007382
284,Oodweyne,SO,72.66,66,9.41,45.06,59,18.01,1592007382
285,Lüderitz,NA,64.4,23,-26.65,15.16,0,17.22,1592007383
286,Boguchany,RU,59.86,87,58.38,97.45,99,5.1,1592007383
287,Beloha,MG,61.36,92,-25.17,45.05,0,4.05,1592007383
288,Klaksvík,FO,42.8,93,62.23,-6.59,11,1.12,1592007383
289,Manadhoo,MV,83.97,75,5.77,73.38,100,13.91,1592007383
290,Ribas do Rio Pardo,BR,70.7,62,-20.44,-53.76,8,3.27,1592007383
291,Port Elizabeth,ZA,53.6,54,-33.92,25.57,1,9.17,1592007264
292,Pevek,RU,44.87,77,69.7,170.31,72,3.04,1592007383
293,Viljandi,EE,55.17,76,58.36,25.59,0,5.82,1592007384
294,kimparana,ML,90.88,38,12.83,-4.92,42,13.49,1592007384
295,Tigil',RU,70.11,31,57.8,158.67,8,10.38,1592007384
296,Pangnirtung,CA,36.61,78,66.15,-65.71,7,2.46,1592007384
297,Petropavlovsk-Kamchatskiy,RU,42.8,100,53.05,158.65,90,8.95,1592007384
298,São Miguel do Araguaia,BR,76.12,59,-13.28,-50.16,13,1.01,1592007343
299,Isāgarh,IN,87.57,42,24.83,77.88,38,1.92,1592007384
300,Tyukalinsk,RU,61.07,90,55.87,72.2,71,9.78,1592007384
301,Semey,KZ,53.6,66,50.41,80.23,0,5.88,1592007385
302,Khilok,RU,55.33,52,51.37,110.47,3,12.19,1592007385
303,Guerrero Negro,MX,74.73,45,27.98,-114.06,0,21.09,1592007385
304,Bolgar,RU,53.6,81,54.95,49.07,90,8.95,1592007385
305,Killam,CA,79.0,35,52.78,-111.85,68,5.01,1592007385
306,Kahului,US,79.83,48,20.89,-156.47,40,27.51,1592007385
307,Dingle,PH,82.99,73,11.0,122.67,99,2.26,1592007385
308,Mathbaria,BD,82.15,86,22.29,89.96,98,8.84,1592007151
309,Baripāda,IN,83.08,81,21.93,86.72,100,6.06,1592007369
310,Hailar,CN,61.39,64,49.2,119.7,100,4.34,1592007386
311,Kashgar,CN,62.6,63,39.45,75.98,75,8.95,1592007386
312,Ayagoz,KZ,63.48,49,47.97,80.44,72,4.36,1592007386
313,Zunyi,CN,72.57,91,27.69,106.91,100,3.24,1592007386
314,Bay Roberts,CA,55.9,1,47.6,-53.26,34,8.77,1592007386
315,Oranjestad,AW,82.4,74,12.52,-70.03,20,18.34,1592007387
316,Ketchikan,US,60.8,63,55.34,-131.65,75,18.34,1592007387
317,Upata,VE,82.0,74,8.01,-62.4,55,5.01,1592007387
318,Langsa,ID,75.33,91,4.47,97.97,95,2.53,1592007387
319,Tall Kayf,TR,65.17,65,37.08,41.07,0,5.79,1592007387
320,Kavaratti,IN,84.16,78,10.57,72.64,100,17.56,1592007387
321,Gondanglegi,ID,77.43,85,-7.75,112.01,30,9.06,1592007387
322,São João dos Patos,BR,72.32,72,-6.5,-43.7,22,2.08,1592007388
323,Hasaki,JP,70.47,100,35.73,140.83,75,5.82,1592007388
324,Manggar,ID,82.81,75,-2.88,108.27,32,12.39,1592007388
325,Tolaga Bay,NZ,53.85,74,-38.37,178.3,94,10.45,1592007388
326,Vila Velha,BR,75.09,88,-20.33,-40.29,29,6.93,1592007190
327,Rzeszów,PL,65.3,94,50.04,22.0,78,2.24,1592007388
328,Pacific Grove,US,65.3,55,36.62,-121.92,20,12.75,1592007207
329,Itaituba,BR,80.6,78,-4.28,-55.98,20,1.3,1592007388
330,Half Moon Bay,US,64.26,63,37.46,-122.43,75,17.22,1592007388
331,Jiexiu,CN,78.62,52,37.02,111.91,42,6.46,1592007388
332,Podgorenskiy,RU,69.33,78,50.41,39.64,25,9.75,1592007389
333,Grindavik,IS,42.8,87,63.84,-22.43,75,10.29,1592007389
334,Marsá Maţrūḩ,EG,71.6,78,31.35,27.25,95,5.82,1592007389
335,Karangampel,ID,77.7,70,-6.46,108.45,75,4.63,1592007389
336,Honiara,SB,87.8,62,-9.43,159.95,40,6.93,1592007389
337,Anshun,CN,68.43,96,26.25,105.93,100,7.63,1592007389
338,Taperoá,BR,69.12,85,-7.21,-36.83,18,12.84,1592007389
339,Labuhan,ID,76.91,85,-6.88,112.21,74,4.9,1592007389
340,Carman,CA,66.0,31,49.5,-98.0,37,4.0,1592007389
341,Tazovsky,RU,43.66,62,67.47,78.7,0,11.72,1592007389
342,Sioux Lookout,CA,59.0,38,50.1,-91.92,75,2.24,1592007389
343,Henties Bay,NA,67.26,30,-22.12,14.28,0,15.12,1592007390
344,Nushki,PK,73.65,17,29.55,66.02,0,6.04,1592007390
345,Salinópolis,BR,79.07,85,-0.61,-47.36,100,9.69,1592007390
346,Zhezkazgan,KZ,70.39,46,47.8,67.71,56,3.0,1592007390
347,Broome,US,61.16,55,42.25,-75.83,1,12.75,1592007390
348,Kohima,IN,65.57,97,25.67,94.12,87,2.08,1592007390
349,Salé,MA,64.51,93,34.04,-6.82,75,5.82,1592007390
350,Mandera,KE,77.97,64,3.94,41.87,66,16.82,1592007390
351,Itarema,BR,76.91,87,-2.92,-39.92,88,9.86,1592007390
352,Wamba,NG,74.23,91,8.93,8.6,58,0.43,1592007390
353,Puerto del Rosario,ES,69.8,68,28.5,-13.86,100,5.82,1592007390
354,Kruisfontein,ZA,47.61,63,-34.0,24.73,1,8.14,1592007390
355,Orshanka,RU,47.03,79,56.92,47.89,87,6.64,1592007391
356,Tara,RU,60.53,95,56.89,74.37,70,10.07,1592007391
357,Viedma,AR,44.69,82,-40.81,-63.0,20,25.7,1592007391
358,San Andrés,CO,84.2,74,12.58,-81.7,75,8.05,1592007391
359,Martaban,MM,78.8,88,16.53,97.61,100,3.98,1592007391
360,Dickinson,US,86.76,38,29.46,-95.05,1,12.75,1592007391
361,Teluknaga,ID,80.08,83,-6.1,106.64,20,3.36,1592007391
362,Sumenep,ID,80.82,77,-7.02,113.87,75,6.38,1592007391
363,Yar-Sale,RU,44.13,61,66.83,70.83,16,17.4,1592007391
364,Kaeo,NZ,63.48,3,-35.1,173.78,67,3.0,1592007391
365,Puteyets,RU,42.13,80,65.17,57.09,68,13.33,1592007392
366,Ambilobe,MG,66.2,83,-13.2,49.05,95,3.24,1592007392
367,Esim,GH,77.86,88,4.87,-2.24,100,11.14,1592007392
368,Verāval,IN,85.37,77,20.9,70.37,85,5.97,1592007392
369,Kachug,RU,58.08,57,53.96,105.88,14,3.27,1592007392
370,Khartoum,SD,87.8,40,15.55,32.53,35,10.29,1592007392
371,Deputatsky,RU,62.49,46,69.3,139.9,100,15.82,1592007126
372,Hervey Bay,AU,72.0,83,-25.3,152.85,81,5.99,1592007349
373,Aykhal,RU,42.8,93,66.0,111.5,90,6.71,1592007392
