,City,Country,Temp,Humidity,Lat,Long,Cloud,Wind,Date
45,Mataura,NZ,39.0,83,-46.19,168.86,5,3.0,1592435952
46,Tavricheskoye,RU,60.8,72,54.59,73.64,75,13.42,1592435952
47,San Patricio,MX,84.2,74,19.22,-104.7,40,11.41,1592435952
48,Lebu,CL,52.61,84,-37.62,-73.65,79,16.4,1592435811
49,Salinas,US,75.2,38,36.68,-121.66,1,11.41,1592435822
50,Corrente,BR,74.66,79,-3.74,-43.34,0,1.66,1592435953
51,Calbuco,CL,50.0,87,-41.77,-73.13,75,10.29,1592435953
52,Punta Arenas,CL,28.4,100,-53.15,-70.92,0,3.36,1592435953
53,Ostrovnoy,RU,41.72,79,68.05,39.51,2,7.45,1592435953
54,Mana,GF,78.1,89,5.66,-53.78,53,6.15,1592435953
55,Nikolskoye,RU,64.4,82,59.7,30.79,0,6.71,1592435848
56,Tautira,PF,84.2,70,-17.73,-149.15,75,6.93,1592435725
57,Bārmer,IN,85.71,63,25.75,71.38,74,23.96,1592435953
58,Vila Velha,BR,73.4,69,-20.33,-40.29,75,5.82,1592435696
59,Butaritari,KI,82.67,76,3.07,172.79,5,13.04,1592435716
60,Jadu,LY,77.02,26,31.95,12.03,0,17.54,1592435954
61,Chui,UY,66.74,80,-33.7,-53.46,100,12.1,1592435863
62,Outjo,NA,54.34,42,-20.12,16.15,0,11.61,1592435954
63,Vestmannaeyjar,IS,48.6,75,63.44,-20.27,100,20.04,1592435954
64,Cape Town,ZA,52.0,76,-33.93,18.42,37,4.7,1592435942
65,Padang,ID,77.31,79,-0.95,100.35,44,5.37,1592435954
66,Lüderitz,NA,71.35,22,-26.65,15.16,0,21.52,1592435847
67,Cabo San Lucas,MX,95.0,19,22.89,-109.91,20,8.05,1592435810
68,Albany,US,84.0,41,42.6,-73.97,0,2.37,1592435808
69,Sinnamary,GF,79.63,83,5.38,-52.95,93,5.37,1592435955
70,Gangānagar,IN,94.42,10,29.92,73.88,0,8.97,1592435955
71,Sabha,LY,77.94,16,27.04,14.43,0,10.36,1592435894
72,New Norfolk,AU,34.0,89,-42.78,147.06,0,2.62,1592435808
73,Hobart,AU,35.6,73,-42.88,147.33,20,5.82,1592435839
74,Saint-Philippe,RE,66.2,88,-21.36,55.77,40,10.29,1592435813
75,Mahébourg,MU,69.8,88,-20.41,57.7,75,18.34,1592435819
76,Bondo,CD,67.21,90,3.81,23.69,93,1.63,1592435956
77,Yangambi,CD,71.26,82,0.81,24.43,96,1.21,1592435956
78,Norman Wells,CA,86.0,30,65.28,-126.83,40,14.99,1592435807
79,Paita,PE,66.47,78,-5.09,-81.11,0,16.15,1592435956
80,Port Elizabeth,ZA,46.4,93,-33.92,25.57,0,3.36,1592435956
81,Iqaluit,CA,39.2,64,63.75,-68.51,75,11.41,1592435835
82,Sechura,PE,70.21,66,-5.56,-80.82,2,18.72,1592435956
83,Northam,GB,55.99,97,51.03,-4.22,100,1.01,1592435956
84,Avarua,CK,75.2,69,-21.21,-159.78,65,6.93,1592435956
85,Vaini,TO,77.0,65,-21.2,-175.2,20,13.87,1592435956
86,Itumbiara,BR,68.97,66,-18.42,-49.22,1,7.27,1592435752
87,Prince Rupert,CA,59.0,72,54.32,-130.32,90,8.05,1592435770
88,Katsuura,JP,73.99,88,35.13,140.3,75,4.7,1592435819
89,North Bend,US,72.0,68,43.41,-124.22,1,23.04,1592435957
90,Khatanga,RU,50.88,53,71.97,102.5,81,7.63,1592435765
91,Palana,RU,47.88,84,59.12,159.97,100,11.48,1592435957
92,Talnakh,RU,39.2,86,69.49,88.4,100,4.47,1592435829
93,Grindavik,IS,48.2,70,63.84,-22.43,75,17.22,1592435741
94,Porto Walter,BR,79.84,65,-8.27,-72.74,54,1.77,1592435957
95,Hithadhoo,MV,84.11,74,-0.6,73.08,49,7.0,1592435957
96,Kapaa,US,84.2,62,22.08,-159.32,20,14.99,1592435957
97,Cherskiy,RU,79.43,24,68.75,161.3,54,3.31,1592435960
98,Marawi,PH,70.32,89,8.0,124.29,100,2.82,1592435830
99,Walvis Bay,NA,73.4,20,-22.96,14.51,0,17.22,1592435877
100,Rikitea,PF,75.54,79,-23.12,-134.97,54,15.46,1592435960
101,Esperance,AU,51.8,100,-33.87,121.9,90,17.22,1592435820
102,Mossamedes,AO,71.44,60,-15.2,12.15,0,6.55,1592435849
103,Ponta do Sol,PT,66.2,77,32.67,-17.1,20,9.17,1592435779
104,San Felipe,VE,75.15,85,10.34,-68.74,19,5.97,1592435960
105,Bluff,NZ,39.0,83,-46.6,168.33,28,3.0,1592435961
106,Itarema,BR,76.78,86,-2.92,-39.92,2,10.49,1592435841
107,Mareeba,AU,73.99,84,-17.0,145.43,100,5.01,1592435825
108,Careiro da Várzea,BR,78.8,94,-3.2,-59.81,40,3.36,1592435961
109,Samarai,PG,79.77,82,-10.62,150.67,93,16.26,1592435961
110,Abu Kamal,SY,82.27,30,34.45,40.92,0,16.55,1592435961
111,Kaitangata,NZ,48.99,48,-46.28,169.85,7,7.0,1592435961
112,Casablanca,MA,71.01,88,33.59,-7.62,20,9.17,1592435961
113,Klaksvík,FO,50.0,87,62.23,-6.59,100,3.36,1592435961
114,Lázaro Cárdenas,MX,85.73,63,17.96,-102.2,0,12.53,1592435961
115,Qaanaaq,GL,33.06,92,77.48,-69.36,22,2.3,1592435961
116,Buala,SB,83.91,75,-8.14,159.59,68,7.38,1592435961
117,San-Pédro,CI,77.22,88,4.75,-6.64,100,11.65,1592435961
118,Souillac,MU,69.8,88,-20.52,57.52,75,18.34,1592435962
119,Ambulu,ID,75.79,87,-8.35,113.61,14,3.67,1592435962
120,Yārāda,IN,85.46,70,17.65,83.27,100,19.75,1592435962
121,Dikson,RU,33.3,90,73.51,80.55,91,3.94,1592435962
122,Adrar,MR,97.36,17,20.5,-10.07,0,16.75,1592435962
123,Havre-St-Pierre,CA,60.8,67,50.23,-63.6,75,12.75,1592435969
124,Saint-François,FR,55.4,82,46.42,3.91,19,2.24,1592435969
125,Poirino,IT,59.0,91,44.92,7.85,4,2.28,1592435970
126,Katobu,ID,76.44,90,-4.94,122.53,56,5.28,1592435970
127,Miranda,CO,77.0,73,3.25,-76.23,75,9.17,1592435970
128,Vila Franca do Campo,PT,62.6,82,37.72,-25.43,20,10.29,1592435866
129,Sulphur Springs,US,93.2,34,33.14,-95.6,40,8.05,1592435970
130,Pevek,RU,43.92,62,69.7,170.31,99,8.61,1592435738
131,Ixtapa,MX,84.2,62,20.7,-105.2,5,11.41,1592435879
132,Ürümqi,CN,66.2,59,43.8,87.6,71,4.47,1592435970
133,Lagoa,PT,63.32,80,39.05,-27.98,90,9.37,1592435970
134,Ternate,ID,81.81,77,0.8,127.4,63,5.75,1592435970
135,George Town,MY,78.8,88,5.41,100.34,20,5.82,1592435637
136,Wanning,CN,81.52,84,18.8,110.4,0,10.69,1592435970
137,Beyneu,KZ,77.49,19,45.32,55.2,0,9.66,1592435883
138,General Roca,AR,46.4,70,-39.03,-67.58,85,5.82,1592435973
139,Dinguiraye,GN,74.37,87,11.3,-10.72,72,4.74,1592435974
140,Tasiilaq,GL,39.2,80,65.61,-37.64,100,20.8,1592435824
141,Fortuna,US,69.01,63,40.6,-124.16,20,18.34,1592435974
142,De-Kastri,RU,45.7,93,51.47,140.78,100,7.07,1592435974
143,Victor Harbor,AU,46.0,92,-35.57,138.62,10,12.82,1592435974
144,Margate,GB,61.0,93,51.38,1.39,100,1.99,1592435756
145,Khovd,MN,64.74,47,48.01,91.64,82,1.3,1592435863
146,Ancud,CL,51.01,87,-41.87,-73.82,20,13.87,1592435838
147,Kruisfontein,ZA,53.33,41,-34.0,24.73,0,5.64,1592435849
148,Leningradskiy,RU,51.48,49,69.38,178.42,100,8.59,1592435702
149,Caravelas,BR,72.39,76,-17.71,-39.25,38,9.42,1592435974
150,Port-Gentil,GA,75.2,94,-0.72,8.78,75,6.93,1592435974
151,Fort Nelson,CA,62.6,77,58.81,-122.7,75,3.36,1592435767
152,Saskylakh,RU,58.32,58,71.92,114.08,76,14.97,1592435975
153,Vardø,NO,44.89,83,70.37,31.11,8,11.14,1592435975
154,Taywarah,AF,51.15,45,33.35,64.42,0,4.76,1592435975
155,Acheng,CN,64.0,72,45.55,126.98,0,13.42,1592435982
156,Port Lincoln,AU,56.48,61,-34.73,135.87,44,21.63,1592435862
157,Provideniya,RU,53.6,71,64.38,-173.3,98,11.18,1592435845
158,Bocas del Toro,PA,68.0,91,9.33,-82.25,78,1.99,1592435982
159,Castro,BR,56.7,93,-24.79,-50.01,0,4.43,1592435698
160,Mollendo,PE,62.8,81,-17.02,-72.01,99,10.16,1592435982
161,Linhares,BR,64.49,87,-19.39,-40.07,22,3.4,1592435982
162,Atar,MR,97.0,19,20.52,-13.05,0,13.85,1592435982
163,Belinsky,RU,64.15,89,52.96,43.42,12,3.87,1592435982
164,Kieta,PG,84.96,60,-6.22,155.63,100,2.15,1592435901
165,Sur,OM,87.4,61,22.57,59.53,46,7.09,1592435889
166,Kahului,US,91.4,38,20.89,-156.47,40,23.04,1592435856
167,Bilma,NE,85.93,14,18.69,12.92,0,3.94,1592435706
168,Neepawa,CA,75.2,57,50.23,-99.47,90,12.75,1592435983
169,East London,ZA,59.95,70,-33.02,27.91,1,11.52,1592435983
170,Roblin,CA,69.31,75,51.23,-101.36,90,9.1,1592435874
171,Dmitriyevka,RU,53.6,81,54.75,55.33,75,8.95,1592435983
172,São Filipe,CV,75.65,80,14.9,-24.5,2,11.34,1592435983
173,Geraldton,AU,62.6,72,-28.77,114.6,75,14.99,1592435724
174,Lorengau,PG,83.73,78,-2.02,147.27,25,11.18,1592435712
175,Ukiah,US,89.6,14,39.15,-123.21,1,7.9,1592435724
176,Malbork,PL,62.01,100,54.04,19.03,57,8.95,1592435987
177,Făcăeni,RO,66.0,100,44.57,27.9,90,3.36,1592435987
178,Faanui,PF,81.5,77,-16.48,-151.75,100,6.78,1592435987
179,Mount Gambier,AU,46.4,87,-37.83,140.77,62,11.41,1592435895
180,Minneapolis,US,88.0,35,44.98,-93.26,20,17.22,1592435793
181,Laguna,US,89.01,16,38.42,-121.42,1,16.11,1592435987
182,Jumla,NP,61.56,71,29.27,82.18,86,1.3,1592435987
183,Meadow Lake,US,93.99,5,34.8,-106.54,1,12.75,1592435767
184,Casper,US,71.01,21,42.87,-106.31,1,26.4,1592435746
185,Hofn,IS,48.65,66,64.25,-15.21,0,7.4,1592435751
186,South Lake Tahoe,US,71.6,25,38.93,-119.98,1,3.36,1592435826
187,Zykovo,RU,46.4,93,55.95,93.15,0,4.68,1592435988
188,Malakal,SS,78.96,72,9.53,31.66,100,3.2,1592435988
189,Port Alfred,ZA,53.01,85,-33.59,26.89,0,1.01,1592435836
190,Richards Bay,ZA,60.13,78,-28.78,32.04,100,4.94,1592435700
191,Juneau,US,57.2,71,58.3,-134.42,90,8.05,1592435630
192,Emba,KZ,65.19,58,48.83,58.14,0,7.9,1592435988
193,Chara,RU,52.7,80,56.91,118.26,98,2.17,1592435988
194,Olinda,BR,80.6,69,-8.01,-34.86,40,9.17,1592435988
195,Ivanava,BY,62.29,96,52.15,25.54,5,8.01,1592435988
196,Yellowknife,CA,63.0,44,62.46,-114.35,40,16.11,1592435988
197,Saint-Augustin,CA,58.78,77,51.23,-58.65,100,12.19,1592435996
198,Tiksi,RU,52.92,66,71.69,128.87,100,6.67,1592435996
199,Batagay,RU,77.36,29,67.63,134.63,1,10.42,1592435849
200,Yancheng,CN,71.62,97,33.39,120.13,100,6.82,1592435996
201,Maiduguri,NG,81.66,55,11.85,13.16,100,12.84,1592435996
202,Rio Grande,BR,64.99,88,-32.03,-52.1,97,3.0,1592435761
203,Palmer,US,84.2,28,42.16,-72.33,20,4.7,1592435836
204,Moroni,KM,75.97,69,-11.7,43.26,15,12.84,1592435996
205,Thompson,CA,42.8,87,55.74,-97.86,90,14.99,1592435749
206,Oranjemund,NA,66.81,31,-28.55,16.43,0,19.82,1592435910
207,Rosarito,MX,73.0,64,32.33,-117.03,5,11.41,1592435997
208,Norfolk,US,80.01,47,42.17,-71.25,1,6.93,1592435997
209,Yurécuaro,MX,84.38,29,20.33,-102.3,64,5.19,1592435997
210,Korla,CN,82.0,40,41.76,86.15,1,3.0,1592435997
211,Solnechnyy,RU,46.87,75,50.72,136.63,98,8.52,1592435921
212,Kununurra,AU,71.6,45,-15.77,128.73,0,8.05,1592435997
213,Māndal,IN,88.09,54,25.45,74.57,81,11.68,1592435997
214,Santa Cruz Cabrália,BR,73.4,73,-16.28,-39.02,40,8.05,1592435997
215,Wajir,KE,75.49,63,1.75,40.06,82,18.54,1592435997
216,San Jose,US,87.01,16,37.34,-121.89,1,16.11,1592435804
217,Zaysan,KZ,62.02,64,47.47,84.87,82,12.77,1592435907
218,Saint Anthony,US,88.0,33,45.02,-93.22,20,17.22,1592435997
219,San Jerónimo,PE,54.54,62,-11.95,-75.28,50,5.79,1592435830
220,Hammerfest,NO,50.0,66,70.66,23.68,6,11.41,1592435997
221,Avilés,ES,59.0,76,43.55,-5.92,90,2.24,1592435997
222,Bengkulu,ID,76.08,87,-3.8,102.27,59,4.97,1592435865
223,Najrān,SA,82.4,18,17.49,44.13,40,4.7,1592435907
224,Kidal,ML,95.34,12,18.44,1.41,22,11.48,1592435825
225,Semporna,MY,75.2,100,4.48,118.61,20,3.36,1592435999
226,Carnarvon,AU,66.2,100,-24.87,113.63,40,14.99,1592435999
227,Egvekinot,RU,58.87,39,66.32,-179.17,46,2.53,1592435999
228,Yurla,RU,40.59,73,59.33,54.32,3,3.87,1592435999
229,Fredericksburg,US,68.0,100,38.3,-77.46,90,6.93,1592435981
230,Kiryat Gat,IL,75.99,45,31.61,34.76,0,3.71,1592435999
231,Puerto Ayora,EC,68.0,94,-0.74,-90.35,76,10.0,1592435999
232,Wencheng,CN,67.93,84,33.06,113.8,72,3.02,1592436000
233,Luzhou,CN,71.67,86,28.87,105.44,98,2.95,1592436000
234,Ambilobe,MG,62.64,64,-13.2,49.05,8,4.29,1592435750
235,Gouré,NE,90.34,28,13.98,10.27,25,2.89,1592435892
236,São João da Barra,BR,70.2,74,-21.64,-41.05,4,9.24,1592436000
237,Ayan,RU,42.62,97,56.45,138.17,98,5.17,1592436000
238,Huanren,CN,67.39,62,41.26,125.37,94,0.78,1592436000
239,Haines Junction,CA,61.86,42,60.75,-137.51,36,12.12,1592435707
240,Nouakchott,MR,104.0,15,18.09,-15.98,0,21.92,1592435881
241,Prabumulih,ID,73.54,97,-3.45,104.25,89,2.21,1592436002
242,Chiredzi,ZW,55.9,85,-21.05,31.67,54,5.26,1592436002
243,Goderich,CA,69.01,62,43.75,-81.72,0,4.7,1592435872
244,Tena,EC,73.4,83,-0.98,-77.82,40,2.24,1592436002
245,Meulaboh,ID,77.29,75,4.14,96.13,97,3.09,1592435862
246,Tanout,NE,92.88,11,14.97,8.89,2,14.2,1592436002
247,Bathsheba,BB,82.4,69,13.22,-59.52,20,19.46,1592435850
248,Sobolevo,RU,61.16,92,54.43,31.9,4,5.88,1592435877
249,Port-Cartier,CA,71.6,53,50.03,-66.87,75,9.1,1592436003
250,Katherine,AU,68.0,88,-14.47,132.27,18,5.82,1592436003
251,Kysyl-Syr,RU,68.07,62,63.9,122.76,88,4.63,1592436003
252,Husavik,IS,48.2,87,66.04,-17.34,47,1.12,1592435829
253,Cayenne,GF,77.0,100,4.93,-52.33,75,5.55,1592436003
254,Qasigiannguit,GL,37.4,74,68.82,-51.19,55,6.93,1592436003
255,Wynyard,AU,46.99,78,-41.0,145.72,70,5.01,1592436004
256,Waddān,LY,76.93,26,29.16,16.14,0,11.56,1592436004
257,Araouane,ML,100.17,8,18.9,-3.53,0,9.17,1592436004
258,Hasaki,JP,73.0,88,35.73,140.83,75,5.82,1592435813
259,Ratnagiri,IN,81.43,84,16.98,73.3,100,12.01,1592436004
260,Xai-Xai,MZ,63.77,84,-25.05,33.64,78,3.85,1592436004
261,Nouadhibou,MR,80.6,51,20.93,-17.03,0,19.46,1592436004
262,Solginskiy,RU,45.75,69,61.05,41.34,0,5.37,1592436005
263,Guiglo,CI,73.67,97,6.55,-7.5,93,4.12,1592436005
264,Henties Bay,NA,73.9,31,-22.12,14.28,0,11.9,1592435784
265,Karpathos,GR,70.61,83,35.51,27.21,1,12.17,1592436005
266,Macas,EC,70.81,82,-2.32,-78.12,37,0.94,1592436005
267,Birao,CF,73.17,82,10.28,22.79,100,6.4,1592435846
268,Faya,SA,77.0,28,18.39,42.45,90,4.25,1592436005
269,San Luis,AR,49.86,55,-33.3,-66.34,87,7.74,1592436005
270,Constantine,DZ,62.6,72,36.37,6.61,37,4.7,1592435911
271,Sīrjān,IR,76.86,17,29.45,55.68,0,5.46,1592436005
272,Carahue,CL,50.0,93,-38.7,-73.17,66,8.05,1592436005
273,Hay River,CA,57.2,58,60.82,-115.8,75,10.29,1592435767
274,Vega de Alatorre,MX,83.97,66,20.03,-96.63,18,5.5,1592436005
275,Kapoeta,SS,79.52,62,4.77,33.59,72,1.9,1592436005
276,Dhidhdhoo,MV,84.29,80,6.88,73.1,99,15.5,1592435729
277,Wanaka,NZ,37.87,84,-44.7,169.15,100,6.96,1592436005
278,Caranavi,BO,63.46,85,-15.82,-67.55,36,0.63,1592435821
279,Penzance,GB,57.99,100,50.12,-5.54,97,8.05,1592436006
280,Banda Aceh,ID,80.35,77,5.56,95.32,94,6.31,1592436006
281,Snezhnogorsk,RU,48.2,66,69.19,33.25,15,4.47,1592436006
282,Havelock,US,75.2,64,34.88,-76.9,20,10.29,1592436006
283,Saint Paul Harbor,US,51.8,87,57.79,-152.41,90,16.11,1592435649
284,Champerico,GT,89.6,66,14.3,-91.92,40,6.93,1592436006
285,Vila,PT,52.0,88,42.03,-8.16,21,1.01,1592436006
286,Cuauhtémoc,MX,71.01,43,28.42,-106.87,92,18.99,1592436007
287,Kloulklubed,PW,77.0,94,7.04,134.26,75,8.19,1592436007
288,Rabo de Peixe,PT,62.6,82,37.8,-25.58,20,10.29,1592436007
289,Cascais,PT,63.0,84,38.7,-9.42,0,14.0,1592436007
290,Andenes,NO,48.2,87,69.31,16.12,0,5.82,1592436007
291,Siderno,IT,70.0,76,38.28,16.3,8,14.9,1592436007
292,Makkah al Mukarramah,SA,89.44,14,21.43,39.83,62,6.64,1592436007
293,Mar del Plata,AR,60.8,100,-38.0,-57.56,90,4.7,1592435721
294,Kudahuvadhoo,MV,83.3,78,2.67,72.89,78,7.29,1592436007
295,Ribeira Grande,PT,63.55,78,38.52,-28.7,92,10.45,1592435815
296,Pedernales,DO,84.31,66,18.04,-71.74,63,6.17,1592436008
297,Paamiut,GL,36.72,82,61.99,-49.67,94,2.01,1592435838
298,Kuybysheve,UA,65.03,83,47.36,36.65,15,6.69,1592436009
299,Fare,PF,81.7,78,-16.7,-151.02,100,12.64,1592436009
300,Nioro,GM,83.55,60,13.35,-15.75,55,11.36,1592436009
301,Aparecida do Taboado,BR,71.04,64,-20.09,-51.09,32,7.85,1592436009
302,Río Gallegos,AR,30.2,92,-51.62,-69.22,75,3.36,1592436009
303,Āron,IN,84.96,65,24.38,77.42,100,20.62,1592436010
304,Coquimbo,CL,57.2,76,-29.95,-71.34,20,8.05,1592435847
305,Hegang,CN,55.49,78,47.4,130.37,1,4.88,1592436010
306,Esim,GH,76.98,88,4.87,-2.24,92,12.86,1592435700
307,Qian’an,CN,65.41,67,44.99,124.06,29,6.6,1592436010
308,Mazatlán,MX,87.8,48,23.22,-106.42,5,8.05,1592435913
309,Bambous Virieux,MU,69.8,88,-20.34,57.76,75,18.34,1592436010
310,Cabedelo,BR,73.4,88,-6.98,-34.83,15,5.82,1592436010
311,Galle,LK,80.94,87,6.04,80.22,70,8.52,1592435859
312,Flinders,AU,55.99,85,-34.58,150.86,74,1.01,1592435856
313,Te Anau,NZ,40.73,78,-45.42,167.72,28,6.4,1592435715
314,Tuatapere,NZ,39.0,83,-46.13,167.68,29,3.0,1592436010
315,Paraná,AR,73.99,72,-31.73,-60.52,100,1.99,1592435808
316,Bandarbeyla,SO,81.57,68,9.49,50.81,91,32.35,1592435704
317,Cidreira,BR,65.01,85,-30.18,-50.21,15,11.14,1592435880
318,Narsaq,GL,42.8,73,60.92,-46.05,99,11.41,1592436010
319,Rocha,UY,66.97,82,-34.48,-54.33,100,13.69,1592436010
320,Denpasar,ID,80.6,100,-8.65,115.22,75,11.41,1592435762
321,Ahipara,NZ,61.0,84,-35.17,173.17,69,9.48,1592436011
322,Pangoa,PE,72.27,80,-12.12,-73.0,46,1.57,1592436011
323,Mayo,US,70.0,88,38.89,-76.51,90,10.29,1592436011
324,Dingle,PH,81.12,77,11.0,122.67,100,2.93,1592436011
325,Half Moon Bay,US,84.2,55,37.46,-122.43,1,13.87,1592435857
326,Beringovskiy,RU,51.51,56,63.05,179.32,1,3.42,1592435716
327,Vredendal,ZA,61.65,35,-31.67,18.5,4,15.61,1592436011
328,Tabou,CI,77.4,85,4.42,-7.35,86,11.79,1592435833
329,Colchester,GB,60.01,90,51.89,0.9,100,1.01,1592435721
330,Hamilton,US,82.4,37,39.18,-84.53,1,11.41,1592435404
331,San Quintín,MX,68.47,67,30.48,-115.95,0,13.71,1592436011
332,Conde,BR,73.4,88,-7.26,-34.91,4,5.82,1592436011
333,Carballo,ES,55.0,90,43.21,-8.69,21,1.25,1592436011
334,Santiago del Estero,AR,73.49,50,-27.8,-64.26,0,10.58,1592436011
335,Barra dos Coqueiros,BR,80.6,65,-10.91,-37.04,20,11.41,1592436012
336,Dunkwa,GH,73.54,96,5.97,-1.78,97,3.67,1592436019
337,Naxos,GR,71.01,68,37.11,25.38,0,3.36,1592436019
338,Agirish,RU,40.03,81,61.92,63.02,35,7.36,1592436019
339,Ust-Nera,RU,74.44,29,64.57,143.2,15,3.96,1592436019
340,Santa Cruz de la Sierra,BO,78.8,61,-17.8,-63.17,40,19.46,1592435941
341,Wucheng,CN,84.0,92,29.6,118.17,91,5.55,1592436019
342,Kungurtug,RU,56.1,64,50.6,97.52,87,1.63,1592435818
343,Mundra,IN,85.12,78,22.85,69.73,46,13.18,1592436019
344,Tuktoyaktuk,CA,44.6,93,69.45,-133.04,75,10.29,1592435879
345,Severo-Kuril'sk,RU,45.32,85,50.68,156.12,99,6.69,1592435814
346,Pacific Grove,US,75.2,38,36.62,-121.92,1,11.41,1592435751
347,Chumikan,RU,40.32,91,54.72,135.31,98,6.46,1592436019
348,Dalvik,IS,48.2,87,65.97,-18.53,70,1.12,1592436019
349,Biharamulo,TZ,60.51,66,-2.63,31.31,5,4.25,1592436019
350,Cockburn Town,TC,81.91,81,21.46,-71.14,89,18.41,1592435834
351,Nome,US,66.2,48,64.5,-165.41,1,12.75,1592435769
352,Hong Kong,HK,86.0,79,22.29,114.16,9,8.01,1592435816
353,Kattivākkam,IN,86.0,66,13.22,80.32,40,8.05,1592436020
354,Aykhal,RU,57.2,50,66.0,111.5,20,4.47,1592435746
355,Wau,SS,74.28,77,7.7,28.0,64,5.84,1592436020
356,Bawku,GH,85.37,62,11.06,-0.24,4,14.74,1592436020
357,Tabuk,PH,77.88,82,17.42,121.44,92,4.07,1592436020
358,Seydi,TM,73.35,21,39.48,62.91,0,9.24,1592436020
359,Lihula,EE,57.99,78,58.68,23.85,29,5.99,1592436020
360,Road Town,VG,82.99,80,18.42,-64.62,63,15.99,1592435724
361,Samfya,ZM,54.99,71,-11.36,29.56,1,9.51,1592436020
362,Khandagayty,RU,61.97,51,50.73,92.05,100,2.44,1592436020
363,Laas,IT,46.4,87,46.62,10.7,75,5.82,1592435842
364,Kéfalos,GR,71.6,83,36.75,26.96,20,4.7,1592436021
365,Sørland,NO,50.88,77,67.67,12.69,0,21.54,1592436024
366,Ewo,CG,77.2,72,-0.87,14.82,75,2.53,1592436024
367,Itaqui,BR,71.6,76,-29.13,-56.55,50,14.47,1592436024
368,Mizdah,LY,76.14,29,31.45,12.98,0,9.62,1592436024
369,Yekaterinoslavka,RU,58.1,80,50.37,129.11,1,2.39,1592436025
370,Mackay,AU,68.0,82,-21.15,149.2,90,14.99,1592435946
371,Coyhaique,CL,41.0,93,-45.58,-72.07,40,4.7,1592435864
372,Perbaungan,ID,73.4,100,3.57,98.96,75,4.7,1592436025
373,Tilichiki,RU,60.3,55,60.47,166.1,21,2.71,1592435806
